+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                  ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|wr_ptr                                                                             ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|usedw_counter                                                                      ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|rd_ptr_msb                                                                         ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|three_comparison                                                                   ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|almost_full_comparer                                                               ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo|FIFOram                                                                            ; 72    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated|dpfifo                                                                                    ; 69    ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo|scfifo_inst|auto_generated                                                                                           ; 69    ; 0              ; 0            ; 0              ; 67     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|be_fifo_gen.avalon_traffic_be_fifo                                                                                                                      ; 68    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|wr_ptr                                                                                            ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|usedw_counter                                                                                     ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|rd_ptr_msb                                                                                        ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|three_comparison                                                                                  ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|almost_full_comparer                                                                              ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo|FIFOram                                                                                           ; 554   ; 0              ; 0            ; 0              ; 546    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated|dpfifo                                                                                                   ; 551   ; 0              ; 0            ; 0              ; 551    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo|scfifo_inst|auto_generated                                                                                                          ; 551   ; 0              ; 0            ; 0              ; 549    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst|avalon_traffic_fifo                                                                                                                                     ; 550   ; 0              ; 0            ; 0              ; 548    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|avalon_traffic_gen_inst                                                                                                                                                         ; 643   ; 0              ; 0            ; 0              ; 612    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|driver_fsm_inst|template_stage_inst                                                                                                                                             ; 6     ; 32             ; 0            ; 32             ; 35     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|driver_fsm_inst|block_rw_stage_inst                                                                                                                                             ; 6     ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|driver_fsm_inst|single_rw_stage_inst                                                                                                                                            ; 6     ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|driver_fsm_inst                                                                                                                                                                 ; 6     ; 32             ; 0            ; 32             ; 68     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|wr_ptr                                                                                                                   ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|usedw_counter                                                                                                            ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|rd_ptr_msb                                                                                                               ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|three_comparison                                                                                                         ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|almost_full_comparer                                                                                                     ; 6     ; 3              ; 0            ; 3              ; 1      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo|FIFOram                                                                                                                  ; 39    ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated|dpfifo                                                                                                                          ; 36    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo|scfifo_inst|auto_generated                                                                                                                                 ; 36    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_burstcount_fifo                                                                                                                                                            ; 35    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|be_gen.be_gen_inst|lfsr_gen[1].lfsr_inst                                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|be_gen.be_gen_inst|lfsr_gen[0].lfsr_inst                                                                                                                                        ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|be_gen.be_gen_inst                                                                                                                                                              ; 3     ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[15].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[14].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[13].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[12].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[11].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[10].lfsr_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[9].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[8].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[7].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[6].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[5].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[4].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[3].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[2].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[1].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst|lfsr_gen[0].lfsr_inst                                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|data_gen_inst                                                                                                                                                                   ; 3     ; 0              ; 0            ; 0              ; 512    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|template_addr_gen_inst                                                                                                                                            ; 3     ; 25             ; 0            ; 25             ; 26     ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|burst_boundary_addr_gen_inst                                                                                                               ; 25    ; 0              ; 1            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_seq_prob|random_gen.lfsr_inst                                                                                                         ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_seq_prob                                                                                                                              ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_burstcount|power_of_two_false.rand_burstcount                                                                                         ; 3     ; 2              ; 3            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_burstcount                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_addr_high                                                                                                                             ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst|rand_addr_low                                                                                                                              ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_seq_addr_gen_inst                                                                                                                                            ; 3     ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst|burst_boundary_addr_gen_inst                                                                                                                   ; 25    ; 1              ; 1            ; 1              ; 24     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst|rand_burstcount|power_of_two_false.rand_burstcount                                                                                             ; 3     ; 2              ; 3            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst|rand_burstcount                                                                                                                                ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst|rand_addr_high                                                                                                                                 ; 3     ; 0              ; 0            ; 0              ; 11     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst|rand_addr_low                                                                                                                                  ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|rand_addr_gen_inst                                                                                                                                                ; 3     ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|seq_addr_gen_inst|burst_boundary_addr_gen_inst                                                                                                                    ; 25    ; 0              ; 1            ; 0              ; 24     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|seq_addr_gen_inst|rand_burstcount|power_of_two_false.rand_burstcount                                                                                              ; 3     ; 2              ; 3            ; 2              ; 2      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|seq_addr_gen_inst|rand_burstcount                                                                                                                                 ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst|seq_addr_gen_inst                                                                                                                                                 ; 3     ; 0              ; 0            ; 0              ; 26     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|addr_gen_inst                                                                                                                                                                   ; 35    ; 6              ; 0            ; 6              ; 32     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0|ureset_driver_clk                                                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0|traffic_generator_0                                                                                                                                                                                 ; 567   ; 51             ; 0            ; 51             ; 613    ; 51              ; 51            ; 51              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; d0                                                                                                                                                                                                     ; 516   ; 0              ; 0            ; 0              ; 613    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|mm_interconnect_0|s0_seq_debug_translator                                                                                                                                                          ; 116   ; 5              ; 0            ; 5              ; 105    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|mm_interconnect_0|dmaster_master_translator                                                                                                                                                        ; 117   ; 14             ; 2            ; 14             ; 109    ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|mm_interconnect_0                                                                                                                                                                                  ; 107   ; 0              ; 1            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|dll0                                                                                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|oct0                                                                                                                                                                                               ; 1     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|a0                                                                                                                                                                                              ; 1137  ; 22             ; 13           ; 22             ; 1140   ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|timing_param_inst                                                                                                                          ; 191   ; 0              ; 4            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|rank_timer_inst                                                                                                                            ; 72    ; 0              ; 8            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|sideband_inst                                                                                                                              ; 90    ; 2              ; 6            ; 2              ; 20     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[7].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[6].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[5].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[4].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[3].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[2].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[1].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|decoder_inst_per_drate[0].decoder_inst                                                                    ; 84    ; 0              ; 16           ; 0              ; 77     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; if0|c0|ng0|alt_mem_ddrx_controller_top_inst|controller_inst|ecc_encoder_decoder_wrapper_inst|encoder_inst_per_drate[7].rmw_correct_encoder_inst                                                        ; 92    ; 0              ; 16           ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
